Bin25,n,median,q25,q75
-250,3,1.43,1.2149999999999999,4.434178082191781
-175,1,13.333333333333334,13.333333333333334,13.333333333333334
-150,1,78.0,78.0,78.0
-125,3,12.0,8.0,16.0
-100,1,2.4489795918367347,2.4489795918367347,2.4489795918367347
-50,1,10.0,10.0,10.0
-25,4,1.875,1.60625,1.90625
0,1,16.0,16.0,16.0
100,5,8.0,5.5,12.0
150,14,8.0,8.0,8.375
175,2,14.272388059701493,13.136194029850746,15.40858208955224
200,2,5.0,3.0,7.0
225,1,0.9279279279279279,0.9279279279279279,0.9279279279279279
250,5,8.0,2.3529411764705883,12.711864406779661
275,2,9.7,5.35,14.049999999999999
